"Sub.Num"	"vanilla-2_D"	"vanilla-2_D_n"	"vanilla-2_D_sd"
"30025"	1255.55555555556	9	440.050596838338
"30030"	1476.28571428571	14	614.469055185222
"30049"	1224.05555555556	18	457.058430068555
"30050"	1189	3	707.504770301939
"30051"	1355.55555555556	9	480.566881690549
"30052"	1204.46666666667	15	384.17831921177
"30054"	1450	4	291.408075843252
"30057"	913.333333333333	15	466.202234882592
"30065"	1705.28	25	636.622109261059
"30069"	869.545454545455	11	668.866259223227
"30072"	1306.33333333333	21	577.930387964964
"30074"	668.625	16	419.899968246407
"30075"	727.411764705882	17	427.704199597036
"30076"	1576.51851851852	27	579.971376639225
"30077"	1809.9	10	775.716221021293
"30078"	673.28	25	447.31388308435
"30079"	1179.78571428571	28	577.316933122389
"30081"	723.809523809524	21	415.655219989791
"30085"	1270	10	640.894513767888
